State Code,Year,Beach ID(Def.),Beach Name(Def.),StationID(Def.),Station Name (Def.),CountyName(Def.),Identifier(Def.),StartDate(Def.),StartTime(Def.),ZoneCode(Def.),ActivityTypeCode(Def.),CharacteristicName(Def.),Result ValueText(Def.),ResultValue(Def.),ResultMeasureUnit,Result Comment(Def.),ActivityDepthValue(Def.),ActivityDepthUnitCode(Def.),ResultAnalyticalMethodIdentifier Context(Def.),ResultAnalyticalMethodIdentifier(Def.),ResultAnalyticalMethodName(Def.),Sample CollectionMethod Identifier(Def.),Sample Collection Method Name(Def.),Field Gear(Def.),Latitude,Longitude
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20221220_97522,20-Dec-22,9:06:00 AM,CDT,Sample-Routine,Enterococcus,,5,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20221206_97355,6-Dec-22,8:54:00 AM,CDT,Sample-Routine,Enterococcus,,10,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20221125_97221,25-Nov-22,8:43:00 AM,CDT,Sample-Routine,Enterococcus,,41,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20221122_97203,22-Nov-22,9:36:00 AM,CDT,Sample-Routine,Enterococcus,,246,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20221108_97002,8-Nov-22,8:56:00 AM,CDT,Sample-Routine,Enterococcus,,5,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20221025_96803,25-Oct-22,8:56:00 AM,CDT,Sample-Routine,Enterococcus,,20,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20221011_96667,11-Oct-22,8:55:00 AM,CDT,Sample-Routine,Enterococcus,,10,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20221004_96475,4-Oct-22,8:55:00 AM,CDT,Sample-Routine,Enterococcus,,10,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20220927_96272,27-Sep-22,9:57:00 AM,CDT,Sample-Routine,Enterococcus,,5,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20220920_96131,20-Sep-22,8:55:00 AM,CDT,Sample-Routine,Enterococcus,,5,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20220913_95960,13-Sep-22,8:53:00 AM,CDT,Sample-Routine,Enterococcus,,30,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20220907_95801,7-Sep-22,9:14:00 AM,CDT,Sample-Routine,Enterococcus,,5,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20220831_95630,31-Aug-22,8:45:00 AM,CDT,Sample-Routine,Enterococcus,,30,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20220825_95458,25-Aug-22,8:36:00 AM,CDT,Sample-Routine,Enterococcus,,74,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20220823_95404,23-Aug-22,8:44:00 AM,CDT,Sample-Routine,Enterococcus,,108,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20220816_95215,16-Aug-22,9:03:00 AM,CDT,Sample-Routine,Enterococcus,,10,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20220809_95037,9-Aug-22,8:46:00 AM,CDT,Sample-Routine,Enterococcus,,31,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20220802_94874,2-Aug-22,8:46:00 AM,CDT,Sample-Routine,Enterococcus,,10,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20220726_94702,26-Jul-22,8:49:00 AM,CDT,Sample-Routine,Enterococcus,,20,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20220719_94532,19-Jul-22,8:45:00 AM,CDT,Sample-Routine,Enterococcus,,20,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20220719_94532,19-Jul-22,8:45:00 AM,CDT,Sample-Routine,Enterococcus,,5,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20220712_94374,12-Jul-22,8:46:00 AM,CDT,Sample-Routine,Enterococcus,,63,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20220706_94240,6-Jul-22,9:09:00 AM,CDT,Sample-Routine,Enterococcus,,5,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20220628_93995,28-Jun-22,8:47:00 AM,CDT,Sample-Routine,Enterococcus,,74,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20220621_93836,21-Jun-22,8:45:00 AM,CDT,Sample-Routine,Enterococcus,,20,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20220614_93671,14-Jun-22,9:42:00 AM,CDT,Sample-Routine,Enterococcus,,10,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20220607_93473,7-Jun-22,8:46:00 AM,CDT,Sample-Routine,Enterococcus,,10,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20220531_93284,31-May-22,9:00:00 AM,CDT,Sample-Routine,Enterococcus,,5,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20220524_93104,24-May-22,9:00:00 AM,CDT,Sample-Routine,Enterococcus,,5,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20220517_92970,17-May-22,9:00:00 AM,CDT,Sample-Routine,Enterococcus,,10,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20220510_92763,10-May-22,9:00:00 AM,CDT,Sample-Routine,Enterococcus,,41,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20220504_92646,4-May-22,9:00:00 AM,CDT,Sample-Routine,Enterococcus,,5,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20220426_92460,26-Apr-22,9:00:00 AM,CDT,Sample-Routine,Enterococcus,,5,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20220412_92302,12-Apr-22,9:00:00 AM,CDT,Sample-Routine,Enterococcus,,10,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20220329_92144,29-Mar-22,9:00:00 AM,CDT,Sample-Routine,Enterococcus,,30,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20220323_91966,23-Mar-22,9:00:00 AM,CDT,Sample-Routine,Enterococcus,,84,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20220315_91755,15-Mar-22,9:00:00 AM,CDT,Sample-Routine,Enterococcus,,74,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20220308_91584,8-Mar-22,9:00:00 AM,CDT,Sample-Routine,Enterococcus,,10,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20220222_91412,22-Feb-22,9:00:00 AM,CDT,Sample-Routine,Enterococcus,,5,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20220208_91245,8-Feb-22,9:00:00 AM,CDT,Sample-Routine,Enterococcus,,5,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL047,14th/15th Streets,GALVESTON,GAL047_20220125_91052,25-Jan-22,9:00:00 AM,CDT,Sample-Routine,Enterococcus,,10,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29804,-94.77718
TX,2022,TX710697,25th St.,GAL046,18th/19th Streets,GALVESTON,GAL046_20221220_97521,20-Dec-22,9:00:00 AM,CDT,Sample-Routine,Enterococcus,,5,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29295,-94.78423
TX,2022,TX710697,25th St.,GAL046,18th/19th Streets,GALVESTON,GAL046_20221206_97354,6-Dec-22,8:51:00 AM,CDT,Sample-Routine,Enterococcus,,10,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29295,-94.78423
TX,2022,TX710697,25th St.,GAL046,18th/19th Streets,GALVESTON,GAL046_20221125_97220,25-Nov-22,8:35:00 AM,CDT,Sample-Routine,Enterococcus,,20,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29295,-94.78423
TX,2022,TX710697,25th St.,GAL046,18th/19th Streets,GALVESTON,GAL046_20221122_97202,22-Nov-22,9:00:00 AM,CDT,Sample-Routine,Enterococcus,,209,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29295,-94.78423
TX,2022,TX710697,25th St.,GAL046,18th/19th Streets,GALVESTON,GAL046_20221122_97202,22-Nov-22,9:00:00 AM,CDT,Sample-Routine,Enterococcus,,262,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29295,-94.78423
TX,2022,TX710697,25th St.,GAL046,18th/19th Streets,GALVESTON,GAL046_20221108_97001,8-Nov-22,8:51:00 AM,CDT,Sample-Routine,Enterococcus,,5,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29295,-94.78423
TX,2022,TX710697,25th St.,GAL046,18th/19th Streets,GALVESTON,GAL046_20221025_96802,25-Oct-22,8:51:00 AM,CDT,Sample-Routine,Enterococcus,,5,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29295,-94.78423
TX,2022,TX710697,25th St.,GAL046,18th/19th Streets,GALVESTON,GAL046_20221011_96643,11-Oct-22,8:51:00 AM,CDT,Sample-Routine,Enterococcus,,5,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29295,-94.78423
TX,2022,TX710697,25th St.,GAL046,18th/19th Streets,GALVESTON,GAL046_20221004_96474,4-Oct-22,8:51:00 AM,CDT,Sample-Routine,Enterococcus,,10,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29295,-94.78423
TX,2022,TX710697,25th St.,GAL046,18th/19th Streets,GALVESTON,GAL046_20220927_96271,27-Sep-22,9:53:00 AM,CDT,Sample-Routine,Enterococcus,,5,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29295,-94.78423
TX,2022,TX710697,25th St.,GAL046,18th/19th Streets,GALVESTON,GAL046_20220920_96130,20-Sep-22,8:51:00 AM,CDT,Sample-Routine,Enterococcus,,20,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29295,-94.78423
TX,2022,TX710697,25th St.,GAL046,18th/19th Streets,GALVESTON,GAL046_20220913_95959,13-Sep-22,8:50:00 AM,CDT,Sample-Routine,Enterococcus,,10,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29295,-94.78423
TX,2022,TX710697,25th St.,GAL046,18th/19th Streets,GALVESTON,GAL046_20220907_95800,7-Sep-22,9:01:00 AM,CDT,Sample-Routine,Enterococcus,,5,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29295,-94.78423
TX,2022,TX710697,25th St.,GAL046,18th/19th Streets,GALVESTON,GAL046_20220831_95629,31-Aug-22,8:40:00 AM,CDT,Sample-Routine,Enterococcus,,5,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29295,-94.78423
TX,2022,TX710697,25th St.,GAL046,18th/19th Streets,GALVESTON,GAL046_20220829_95505,29-Aug-22,9:19:00 AM,CDT,Sample-Routine,Enterococcus,,332,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29295,-94.78423
TX,2022,TX710697,25th St.,GAL046,18th/19th Streets,GALVESTON,GAL046_20220827_95473,27-Aug-22,8:15:00 AM,CDT,Sample-Routine,Enterococcus,,143,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29295,-94.78423
TX,2022,TX710697,25th St.,GAL046,18th/19th Streets,GALVESTON,GAL046_20220825_95457,25-Aug-22,8:31:00 AM,CDT,Sample-Routine,Enterococcus,,109,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29295,-94.78423
TX,2022,TX710697,25th St.,GAL046,18th/19th Streets,GALVESTON,GAL046_20220823_95403,23-Aug-22,8:40:00 AM,CDT,Sample-Routine,Enterococcus,,135,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29295,-94.78423
TX,2022,TX710697,25th St.,GAL046,18th/19th Streets,GALVESTON,GAL046_20220816_95214,16-Aug-22,8:47:00 AM,CDT,Sample-Routine,Enterococcus,,5,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29295,-94.78423
TX,2022,TX710697,25th St.,GAL046,18th/19th Streets,GALVESTON,GAL046_20220809_95036,9-Aug-22,8:42:00 AM,CDT,Sample-Routine,Enterococcus,,31,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29295,-94.78423
TX,2022,TX710697,25th St.,GAL046,18th/19th Streets,GALVESTON,GAL046_20220802_94873,2-Aug-22,8:42:00 AM,CDT,Sample-Routine,Enterococcus,,20,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29295,-94.78423
TX,2022,TX710697,25th St.,GAL046,18th/19th Streets,GALVESTON,GAL046_20220726_94701,26-Jul-22,8:45:00 AM,CDT,Sample-Routine,Enterococcus,,10,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29295,-94.78423
TX,2022,TX710697,25th St.,GAL046,18th/19th Streets,GALVESTON,GAL046_20220719_94531,19-Jul-22,8:41:00 AM,CDT,Sample-Routine,Enterococcus,,10,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29295,-94.78423
TX,2022,TX710697,25th St.,GAL046,18th/19th Streets,GALVESTON,GAL046_20220712_94373,12-Jul-22,8:42:00 AM,CDT,Sample-Routine,Enterococcus,,20,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29295,-94.78423
TX,2022,TX710697,25th St.,GAL046,18th/19th Streets,GALVESTON,GAL046_20220706_94239,6-Jul-22,9:03:00 AM,CDT,Sample-Routine,Enterococcus,,5,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29295,-94.78423
TX,2022,TX710697,25th St.,GAL046,18th/19th Streets,GALVESTON,GAL046_20220628_93994,28-Jun-22,8:42:00 AM,CDT,Sample-Routine,Enterococcus,,41,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29295,-94.78423
TX,2022,TX710697,25th St.,GAL046,18th/19th Streets,GALVESTON,GAL046_20220621_93835,21-Jun-22,8:41:00 AM,CDT,Sample-Routine,Enterococcus,,5,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29295,-94.78423
TX,2022,TX710697,25th St.,GAL046,18th/19th Streets,GALVESTON,GAL046_20220614_93670,14-Jun-22,9:34:00 AM,CDT,Sample-Routine,Enterococcus,,41,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29295,-94.78423
TX,2022,TX710697,25th St.,GAL046,18th/19th Streets,GALVESTON,GAL046_20220607_93472,7-Jun-22,8:42:00 AM,CDT,Sample-Routine,Enterococcus,,5,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29295,-94.78423
TX,2022,TX710697,25th St.,GAL046,18th/19th Streets,GALVESTON,GAL046_20220531_93283,31-May-22,9:00:00 AM,CDT,Sample-Routine,Enterococcus,,10,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29295,-94.78423
TX,2022,TX710697,25th St.,GAL046,18th/19th Streets,GALVESTON,GAL046_20220524_93103,24-May-22,9:00:00 AM,CDT,Sample-Routine,Enterococcus,,5,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29295,-94.78423
TX,2022,TX710697,25th St.,GAL046,18th/19th Streets,GALVESTON,GAL046_20220517_92969,17-May-22,9:00:00 AM,CDT,Sample-Routine,Enterococcus,,20,cfu/100mL,,2,ft,21TXBCH,19299,ENTEROLERT,SPL_WTRGRB,Sample Water Grab,Water Bottle,29.29295,-94.78423
